Date,HomeTeam,AwayTeam,FTR,season,home_odds,draw_odds,away_odds,goals_scored,goals_conceded,ELO,matchDay,avg_goals_scored,avg_goals_conceded,points,avg_points_game,elo_change_trend,goals_scored_trend,goals_conceded_trend,goals_scored_away,goals_conceded_away,ELO_away,matchDay_away,avg_goals_scored_away,avg_goals_conceded_away,points_away,avg_points_game_away,elo_change_trend_away,goals_scored_trend_away,goals_conceded_trend_away
2015-10-04,Everton,Liverpool,D,2016,2.7,3.4,2.75,12,8,1023.89,8,1.5,1.0,13,1.625,26.53,1.2,0.6,8,10,1002.07,8,1.0,1.25,12,1.5,-24.03,1.0,1.8
2015-10-04,Swansea,Tottenham,D,2016,2.68,3.25,2.79,10,10,997.87,8,1.25,1.25,10,1.25,-13.0,0.6,1.0,11,7,1025.28,8,1.375,0.875,13,1.625,29.9,1.2,0.2
2015-10-17,Chelsea,Aston Villa,H,2016,1.33,5.41,10.0,14,17,984.06,9,1.556,1.889,11,1.222,-11.53,1.2,1.6,8,15,941.16,9,0.889,1.667,4,0.444,-39.98,0.8,1.6
2015-10-17,Crystal Palace,West Ham,A,2016,2.0,3.5,3.99,12,10,1007.48,9,1.333,1.111,15,1.667,0.93,0.6,0.4,20,12,1042.36,9,2.222,1.333,17,1.889,19.5,1.6,1.0
2015-10-17,Everton,Man United,A,2016,3.2,3.3,2.4,12,11,1005.4,9,1.333,1.222,13,1.444,20.36,1.4,0.8,15,8,1046.75,9,1.667,0.889,19,2.111,18.36,1.8,1.2
2015-10-17,Man City,Bournemouth,H,2016,1.33,5.38,10.0,24,8,1058.18,9,2.667,0.889,21,2.333,-2.03,1.8,1.4,11,17,970.42,9,1.222,1.889,8,0.889,-11.32,1.0,1.2
2015-10-17,Southampton,Leicester,D,2016,1.75,3.88,5.0,15,12,1009.46,9,1.667,1.333,13,1.444,13.98,1.6,1.0,19,17,1025.11,9,2.111,1.889,16,1.778,1.75,1.8,2.0
2015-10-17,Tottenham,Liverpool,D,2016,2.5,3.5,3.0,11,7,1021.84,9,1.222,0.778,14,1.556,34.7,1.6,0.6,8,10,1005.51,9,0.889,1.111,13,1.444,-0.57,1.2,1.4
2015-10-17,Watford,Arsenal,A,2016,6.0,4.2,1.6,6,10,981.83,9,0.667,1.111,10,1.111,9.79,0.8,0.6,16,7,1055.04,9,1.778,0.778,19,2.111,27.98,2.0,0.8
2015-10-17,West Brom,Sunderland,H,2016,2.05,3.35,4.0,7,11,982.67,9,0.778,1.222,11,1.222,-9.66,0.6,1.0,8,19,940.82,9,0.889,2.111,3,0.333,-29.52,0.4,1.6
